DATE,MODEL,IDENT,RTE,DURATION,NIGHT,XTY,SIC,PIC,REMARKS
10/1/2016,A-320,N583,PHL-DFW,3.4,,3.4,3.4,,
10/2/2016,A-320,N823,DFW-YYZ-LAX,8.5,,8.5,8.5,,
10/3/2016,A-320,N163,LAX-CLT,4.5,,4.5,4.5,,
10/7/2016,A-320,N554,PHL-BOS,1.2,,1.2,1.2,,
10/8/2016,A-320,N916,BOS-CLT-PHL-MCO,6.2,,6.2,6.2,,
10/9/2016,A-320,N171,MCO-CLT,1.6,,1.6,1.6,,
10/24/2016,A-320,N560,PHL-SJU,4.1,,4.1,4.1,,
10/26/2016,A-320,N150,SJU-PHL,4.4,,4.4,4.4,,
10/31/2016,A-320,N568,PHL-LAX,5.6,,5.6,5.6,,
11/1/2016,A-320,N195,LAX-PHL,4.8,,4.8,4.8,,
11/8/2016,A-320,N165,PHL-MCO-PHL,4.6,,4.6,4.6,,
11/21/2016,A-320,N152,PHL-SFO,6.1,,6.1,6.1,,
11/22/2016,A-320,N184,SFO-PHL,5.1,,5.1,5.1,,
11/28/2016,A-320,N562,PHL-CLT,1.5,,1.5,1.5,,
12/6/2016,A-320,N536,PHL-LAX,6.1,,6.1,6.1,,
12/7/2016,A-320,N174,LAX-PHL,4.9,,4.9,4.9,,
12/19/2016,A-320,N918,PHL-LAS,5.4,,5.4,5.4,,
12/21/2016,A-320,N536,PHL-DFW,3.7,,3.7,3.7,,
12/24/2016,A-320,N162,PHL-PHX,5.5,,5.5,5.5,,
12/26/2016,A-320,N192,PHL-PHX,5.4,,5.4,5.4,,
1/1/2017,A-320,N122,CLT-NAS-CLT-BOS,6.4,,6.4,6.4,,
1/2/2017,A-320,N786,BOS-JFK-BOS,2.8,,2.8,2.8,,
1/3/2017,A-320,N712,BOS-CLT-PVD,4.3,,4.3,4.3,,
1/4/2017,A-320,N128,PVD-CLT,2.4,,2.4,2.4,,
1/4/2017,A-320,N128,CLT-GCM-CLT,5.5,,5.5,5.5,,
1/8/2017,A-320,N834,CLT-JAX,1.3,,1.3,1.3,,
1/14/2017,A-320,N151,CLT-PLS-CLT,5.9,,5.9,5.9,,
1/15/2017,DC10,N651,CLT-ATL-CLT,2.3,,2.3,2.3,,
1/15/2017,A-320,N712,CLT-MSY-CLT,4.0,,4.0,4.0,,
1/21/2017,A-320,N715,CLT-CUN-CLT-ATL,7.4,,7.4,7.4,,
1/22/2017,A-320,N703,ATL-CLT,1.8,,1.8,1.8,,
1/22/2017,A-320,N703,CLT-BNA-CLT,2.7,,2.7,2.7,,
1/27/2017,A-320,N521,CLT-DFW,3.1,,3.1,3.1,,
1/28/2017,A-320,N827,OMA-LAX-MSP,8.1,,8.1,8.1,,
1/29/2017,A-320,N123,MSP-CLT,2.3,,2.3,2.3,,
2/5/2017,A-320,N126,CLT-LGA-CLT-RDU,4.2,,4.2,4.2,,
2/6/2017,A-320,N190,RDU-CLT-ORF,1.9,,1.9,1.9,,
2/10/2017,A-320,N805,CLT-LGA-CLT-RDU,4.4,,4.4,4.4,,
2/11/2017,A-320,N827,RDU-CUN-RDU,6.5,,6.5,6.5,,
2/12/2017,A-320,N172,RDU-CLT,0.9,,0.9,0.9,,
2/12/2017,A-320,N733,CLT-BUF-CLT,3.5,,3.5,3.5,,
2/18/2017,A-320,N111,CLT-POP-CLT,6.5,,6.5,6.5,,
2/24/2017,A-320,N538,CLT-RSW-CLT-DEN,7.8,,7.8,7.8,,
2/26/2017,A-320,N539,DEN-CLT,2.6,,2.6,2.6,,
3/1/2017,A-320,N584,CLT-MCO-CLT,4.5,,4.5,4.5,,
3/2/2017,A-320,N584,CLT-BOS-PHL-SJU,8.4,,8.4,8.4,,
3/3/2017,A-320,N537,SJU-CLT,3.8,,3.8,3.8,,
3/5/2017,A-320,N576,CLT-STT-CLT,7.1,,7.1,7.1,,
3/10/2017,A-320,N818,CLT-IAH,2.9,,2.9,2.9,,
3/11/2017,A-320,N819,IAH-MIA-CMW-MIA,4.9,,4.9,4.9,,
3/12/2017,A-320,N814,MIA-MEX-MIA,7.2,,7.2,7.2,,
3/13/2017,A-320,N006,MIA-BZE,2.4,,2.4,2.4,,
3/13/2017,A-320,N006,BZE-MIA-CLT,3.7,,3.7,3.7,,
3/24/2017,A-320,N123,CLT-LGA-CLT-JAX,4.9,,4.9,4.9,,
3/25/2017,A-320,N747,JAX-CLT,1.3,,1.3,1.3,,
3/25/2017,A-320,N747,CLT-LGA-CLT,3.6,,3.6,3.6,,
3/31/2017,A-320,N114,CLT-RSW-CLT-SYR,5.3,,5.3,5.3,,
4/2/2017,A-320,N747,SYR-CLT,2.2,,2.2,2.2,,
4/2/2017,A-320,N747,CLT-ORD-CLT,3.9,,3.9,3.9,,
4/4/2017,A-320,N725,CLT-NAS-CLT,4.5,,4.5,4.5,,
4/14/2017,DC10,N667,CLT-JFK-CLT-TPA,5.3,,5.3,5.3,,
4/15/2017,A-320,N709,TPA-PHL-RSW,5.4,,5.4,5.4,,
4/16/2017,A-320,N105,RSW-CLT-PVD,3.8,,3.8,3.8,,
4/17/2017,A-320,N124,PVD-CLT,2.2,,2.2,2.2,,
4/17/2017,A-320,N124,CLT-TPA-CLT,3.1,,3.1,3.1,,
5/8/2017,A-320,N973,CLT-LAS,4.5,,4.5,4.5,,
5/9/2017,A-320,N933,DFW-CUN-DFW,5.3,,5.3,5.3,,
5/11/2017,A-320,N982,LAS-CLT,4.3,,4.3,4.3,,
5/16/2017,A-320,N978,CLT-DFW-DEN,5.5,,5.5,5.5,,
5/17/2017,A-320,N170,DEN-PHL-FLL,6.7,,6.7,6.7,,
5/18/2017,A-320,N150,FLL-CLT-PHL-BOS,6.5,,6.5,6.5,,
5/19/2017,A-320,N188,BOS-PHL-CLT,2.9,,2.9,2.9,,
5/24/2017,A-320,N795,JFK-SAL,6.3,,6.3,6.3,,
5/25/2017,A-320,N794,SAL-JFK,4.8,,4.8,4.8,,
5/27/2017,A-320,N108,CLT-BWI,1.5,,1.5,1.5,,
5/28/2017,DC10,N669,BWI-CLT,1.4,,1.4,1.4,,
5/28/2017,A-320,N918,CLT-LGA,1.7,,1.7,1.7,,
6/8/2017,A-320,N830,CLT-FLL,2.2,,2.2,2.2,,
6/8/2017,A-320,N830,FLL-CLT,2.0,,2.0,2.0,,
6/8/2017,A-320,N820,CLT-MSY,1.8,,1.8,1.8,,
6/9/2017,A-320,N741,MSY-DCA,2.3,,2.3,2.3,,
6/12/2017,A-320,N974,CLT-DFW,2.7,,2.7,2.7,,
6/12/2017,A-320,N974,DFW-SMF,3.6,,3.6,3.6,,
6/13/2017,A-320,N976,SMF-CLT,4.6,,4.6,4.6,,
6/20/2017,A-320,N153,CLT-LGA,1.8,,1.8,1.8,,
6/20/2017,A-320,N153,LGA-CLT,2.0,,2.0,2.0,,
6/20/2017,A-320,N701,CLT-SYR,1.6,,1.6,1.6,,
6/21/2017,A-320,N114,SYR-CLT,1.9,,1.9,1.9,,
6/21/2017,A-320,N809,CLT-MYR,0.8,,0.8,0.8,,
6/21/2017,A-320,N809,MYR-CLT,1.1,,1.1,1.1,,
6/21/2017,A-320,N122,CLT-RDU,0.8,,0.8,0.8,,
6/22/2017,A-320,N804,RDU-CLT,1.0,,1.0,1.0,,
6/22/2017,A-320,N804,CLT-TPA,1.6,,1.6,1.6,,
6/22/2017,A-320,N804,TPA-CLT,1.9,,1.9,1.9,,
6/26/2017,A-320,N820,CLT-DCA,1.2,,1.2,1.2,,
6/26/2017,A-320,N114,DCA-MCO,2.3,,2.3,2.3,,
6/27/2017,A-320,N585,MCO-CLT,1.5,,1.5,1.5,,
6/27/2017,A-320,N813,CLT-RSW,1.8,,1.8,1.8,,
6/28/2017,A-320,N163,RSW-RSW,0.3,,0.3,0.3,,
6/28/2017,A-320,N163,RSW-CLT,1.6,,1.6,1.6,,
6/28/2017,A-320,N700,CLT-BDL,2.1,,2.1,2.1,,
6/28/2017,A-320,N700,BDL-CLT,1.7,,1.7,1.7,,
7/2/2017,A-320,N923,CLT-PHL,1.6,,1.6,1.6,,
7/2/2017,A-320,N913,PHL-LAS,5.1,,5.1,5.1,,
7/3/2017,A-320,N545,LAS-DFW,2.7,,2.7,2.7,,
7/3/2017,A-320,N869,DFW-SFO,3.6,,3.6,3.6,,
7/5/2017,A-320,N507,SFO-CLT,4.9,,4.9,4.9,,
7/11/2017,A-320,N126,CLT-SJC,5.1,,5.1,5.1,,
7/12/2017,A-320,N118,SJC-CLT,5.0,,5.0,5.0,,
7/17/2017,A-320,N972,CLT-PHL,1.7,,1.7,1.7,,
7/17/2017,A-320,N197,PHL-SFO,6.3,,6.3,6.3,,
7/19/2017,A-320,N915,SFO-CLT,4.9,,4.9,4.9,,
7/25/2017,A-320,N998,MCO-DFW,2.8,,2.8,2.8,,
7/25/2017,A-320,N874,DFW-LGA,3.2,,3.2,3.2,,
7/26/2017,A-320,N552,LGA-CLT,2.0,,2.0,2.0,,
7/26/2017,A-320,N980,CLT-MCO,1.6,,1.6,1.6,,
7/26/2017,A-320,N980,MCO-CLT,1.6,,1.6,1.6,,
7/31/2017,A-320,N154,CLT-DFW,2.6,,2.6,2.6,,
7/31/2017,A-320,N556,DFW-SEA,4.2,,4.2,4.2,,
8/2/2017,A-320,N567,SEA-CLT,5.1,,5.1,5.1,,
8/7/2017,A-320,N979,CLT-PDX,5.5,,5.5,5.5,,
8/8/2017,A-320,N181,PDX-CLT,4.7,,4.7,4.7,,
8/14/2017,A-320,N975,CLT-DFW,2.6,,2.6,2.6,,
8/14/2017,A-320,N891,DFW-SAN,3.0,,3.0,3.0,,
8/15/2017,A-320,N556,SAN-CLT,4.2,,4.2,4.2,,
8/21/2017,A-320,N817,MSY-CLT,1.9,,1.9,1.9,,
8/23/2017,A-320,N172,CLT-DFW,3.0,,3.0,3.0,,
8/23/2017,A-320,N538,DFW-CLT,2.3,,2.3,2.3,,
8/28/2017,DC10,N650,CLT-BDL,1.9,,1.9,1.9,,
8/28/2017,DC10,N650,BDL-CLT,2.0,,2.0,2.0,,
8/28/2017,DC10,N650,CLT-ALB,1.7,,1.7,1.7,,
8/29/2017,A-320,N748,ALB-CLT,2.3,,2.3,2.3,,
8/29/2017,A-320,N587,CLT-MIA,2.0,,2.0,2.0,,
8/30/2017,A-320,N585,MIA-PHL,2.5,,2.5,2.5,,
8/30/2017,A-320,N722,PHL-STL,2.5,,2.5,2.5,,
8/31/2017,A-320,N805,STL-CLT,1.7,,1.7,1.7,,
8/31/2017,A-320,N167,CLT-PHL,1.5,,1.5,1.5,,
8/31/2017,A-320,N543,PHL-CLT,1.6,,1.6,1.6,,
9/4/2017,A-320,N737,CLT-ALB,1.7,,1.7,1.7,,
9/4/2017,A-320,N737,ALB-CLT,1.8,,1.8,1.8,,
9/4/2017,A-320,N177,CLT-DEN,3.3,,3.3,3.3,,
9/6/2017,A-320,N972,DEN-CLT,2.8,,2.8,2.8,,
9/10/2017,A-320,N913,CLT-DEN,3.4,,3.4,3.4,,
9/11/2017,A-320,N996,DEN-DFW,1.9,,1.9,1.9,,
9/11/2017,A-320,N558,DFW-PHL,3.2,,3.2,3.2,,
9/12/2017,A-320,N813,DCA-MSY,2.6,,2.6,2.6,,
9/18/2017,A-320,N553,CLT-MCO,1.7,,1.7,1.7,,
9/18/2017,A-320,N553,MCO-CLT,1.5,,1.5,1.5,,
9/18/2017,A-320,N580,CLT-BOS,2.2,,2.2,2.2,,
9/19/2017,A-320,N538,BOS-CLT,2.1,,2.1,2.1,,
9/19/2017,A-320,N538,CLT-BOS,2.4,,2.4,2.4,,
9/20/2017,A-320,N188,BOS-PHL,1.3,,1.3,1.3,,
9/20/2017,A-320,N188,PHL-BOS,2.0,,2.0,2.0,,
9/20/2017,A-320,N188,BOS-CLT,2.0,,2.0,2.0,,
10/15/2017,A-320,N187,CLT-MIA,1.9,,1.9,1.9,,
10/15/2017,A-320,N021,MIA-CUR,2.9,,2.9,2.9,,
10/16/2017,A-320,N021,CUR-MIA,3.2,,3.2,3.2,,
10/16/2017,A-320,N836,MIA-CLT,2.0,,2.0,2.0,,
10/24/2017,A-320,N185,CLT-SFO,5.4,,5.4,5.4,,
10/26/2017,A-320,N542,SFO-CLT,4.7,,4.7,4.7,,
12/11/2017,DC-9,N4YU,DFW-IAH,1.0,,1.0,1.0,,
12/11/2017,DC-9,N4YU,IAH-DFW,1.1,,1.1,1.1,,
12/11/2017,DC-9,N4YU,DFW-TUL,1.1,,1.1,1.1,,
12/12/2017,DC-9,N4YU,TUL-DFW,1.1,,1.1,1.1,,
12/12/2017,DC-9,N4WN,DFW-IAH,1.0,,1.0,1.0,,
12/12/2017,DC-9,N4WN,IAH-DFW,1.6,,1.6,1.6,,
12/12/2017,DC-9,N4XF,DFW-TUL,1.1,,1.1,1.1,,
12/13/2017,DC-9,N4XF,TUL-DFW,1.0,,1.0,1.0,,
12/13/2017,DC-9,N4YA,DFW-IAD,2.8,,2.8,2.8,,
12/13/2017,DC-9,N4YA,IAD-DFW,3.2,,3.2,3.2,,
1/1/2018,DC-9,N4YE,ORD-DFW,2.4,,2.4,2.4,,
1/2/2018,DC-9,N4XJ,ORD-SAT,3.1,,3.1,3.1,,
1/3/2018,DC-9,N4XV,DFW-BWI,2.9,,2.9,2.9,,
1/3/2018,DC-9,N4XV,BWI-DFW,3.3,,3.3,3.3,,
1/7/2018,DC-9,N4XG,DFW-BWI,2.8,,2.8,2.8,,
1/7/2018,DC-9,N4XG,BWI-DFW,3.7,,3.7,3.7,,
1/11/2018,DC-9,N4YA,DFW-SAT,1.1,,1.1,1.1,,
1/11/2018,DC-9,N4YA,SAT-DFW,1.2,,1.2,1.2,,
1/11/2018,DC-9,N4XE,DFW-CMH,2.1,,2.1,2.1,,
1/12/2018,DC-9,N4XB,CMH-DFW,2.9,,2.9,2.9,,
1/12/2018,DC-9,N4XB,DFW-OMA,1.8,,1.8,1.8,,
1/13/2018,DC-9,N4YT,OMA-DFW,1.9,,1.9,1.9,,
1/13/2018,DC-9,N4YT,DFW-BNA,1.8,,1.8,1.8,,
1/13/2018,DC-9,N4YT,BNA-DFW,2.0,,2.0,2.0,,
1/14/2018,DC-9,N4XE,DFW-BNA,1.6,,1.6,1.6,,
1/14/2018,DC-9,N4XE,BNA-DFW,2.0,,2.0,2.0,,
1/14/2018,DC-9,N4XD,DFW-MKE,2.3,,2.3,2.3,,
1/15/2018,DC-9,N541,MKE-DFW,3.1,,3.1,3.1,,
1/15/2018,DC-9,N4XE,DFW-TUL,1.0,,1.0,1.0,,
1/16/2018,DC-9,N4XE,TUL-DFW,1.1,,1.1,1.1,,
1/16/2018,DC-9,N4XE,DFW-OMA,1.7,,1.7,1.7,,
1/16/2018,DC-9,N4XE,OMA-DFW,1.9,,1.9,1.9,,
1/21/2018,DC-9,N4XD,DFW-PIT,2.4,,2.4,2.4,,
1/21/2018,DC-9,N4XD,PIT-DFW,3.6,,3.6,3.6,,
1/21/2018,DC-9,N4YN,DFW-OKC,0.8,,0.8,0.8,,
1/22/2018,DC-9,N4XL,OKC-DFW,1.2,,1.2,1.2,,
1/22/2018,DC-9,N4XL,DFW-TUL,1.1,,1.1,1.1,,
1/23/2018,DC-9,N4YB,DFW-CVG,1.9,,1.9,1.9,,
1/23/2018,DC-9,N4YB,CVG-DFW,2.5,,2.5,2.5,,
1/26/2018,DC-9,N424,DFW-IAH,0.9,,0.9,0.9,,
1/26/2018,DC-9,N424,IAH-DFW,1.1,,1.1,1.1,,
1/26/2018,DC-9,N4YE,DFW-PIT,2.5,,2.5,2.5,,
1/27/2018,DC-9,N541,PIT-DFW,3.3,,3.3,3.3,,
1/27/2018,DC-9,N424,DFW-GSP,2.1,,2.1,2.1,,
1/28/2018,DC-9,N4XT,GSP-DFW,2.7,,2.7,2.7,,
1/28/2018,DC-9,N4XT,DFW-DAY,2.1,,2.1,2.1,,
1/29/2018,DC-9,N4YC,DAY-DFW,2.7,,2.7,2.7,,
1/29/2018,DC-9,N4YC,DFW-IAH,1.0,,1.0,1.0,,
1/29/2018,DC-9,N4YC,IAH-DFW,1.3,,1.3,1.3,,
2/1/2018,DC-9,N4WN,DFW-CLE,2.3,,2.3,2.3,,
2/1/2018,DC-9,N4WN,CLE-DFW,3.3,,3.3,3.3,,
2/1/2018,DC-9,N4WN,DFW-PNS,1.6,,1.6,1.6,,
2/2/2018,DC-9,N4XH,PNS-DFW,2.3,,2.3,2.3,,
2/2/2018,DC-9,N4YR,DFW-VPS,1.7,,1.7,1.7,,
2/3/2018,DC-9,N528,VPS-DFW,2.2,,2.2,2.2,,
2/3/2018,DC-9,N528,DFW-MCI,1.6,,1.6,1.6,,
2/4/2018,DC-9,N528,MCI-DFW,1.7,,1.7,1.7,,
2/4/2018,DC-9,N4YE,DFW-MKE,2.1,,2.1,2.1,,
2/4/2018,DC-9,N4YE,MKE-DFW,2.7,,2.7,2.7,,
2/7/2018,DC-9,N590,DFW-OMA,1.8,,1.8,1.8,,
2/7/2018,DC-9,N590,OMA-DFW,2.0,,2.0,2.0,,
2/7/2018,DC-9,N555,DFW-YYZ,2.9,,2.9,2.9,,
2/8/2018,DC-9,N4YL,YYZ-DFW,3.6,,3.6,3.6,,
2/8/2018,DC-9,N4XU,DFW-DAY,2.0,,2.0,2.0,,
2/9/2018,DC-9,N4XH,DAY-DFW,2.7,,2.7,2.7,,
2/9/2018,DC-9,N4XH,DFW-OKC,0.9,,0.9,0.9,,
2/10/2018,DC-9,N4XS,OKC-DFW,1.0,,1.0,1.0,,
2/16/2018,DC-9,N4YF,DFW-STL,1.4,,1.4,1.4,,
2/16/2018,DC-9,N4YF,STL-DFW,1.9,,1.9,1.9,,
2/17/2018,DC-9,N555,OKC-DFW,1.5,,1.5,1.5,,
2/17/2018,DC-9,N425,DFW-MSY,1.2,,1.2,1.2,,
2/17/2018,DC-9,N425,MSY-DFW,1.5,,1.5,1.5,,
2/18/2018,DC-9,N4XU,DFW-AUS,1.0,,1.0,1.0,,
2/18/2018,DC-9,N4XU,AUS-DFW,1.1,,1.1,1.1,,
2/18/2018,DC-9,N425,DFW-IND,2.0,,2.0,2.0,,
2/19/2018,DC-9,N4YL,IND-DFW,2.4,,2.4,2.4,,
2/24/2018,DC-9,N541,DFW-IAH,1.1,,1.1,1.1,,
2/24/2018,DC-9,N541,IAH-DFW,2.0,,2.0,2.0,,
2/24/2018,DC-9,N541,DFW-YYZ,2.6,,2.6,2.6,,
2/25/2018,DC-9,N4XY,YYZ-DFW,4.6,,4.6,4.6,,
2/25/2018,DC-9,N4XY,DFW-GSP,2.1,,2.1,2.1,,
2/26/2018,DC-9,N547,GSP-DFW,2.9,,2.9,2.9,,
2/26/2018,DC-9,N4YP,DFW-DAY,2.0,,2.0,2.0,,
2/27/2018,DC-9,N4XU,DAY-DFW,2.6,,2.6,2.6,,
2/27/2018,DC-9,N4XU,DFW-IAH,1.1,,1.1,1.1,,
2/27/2018,DC-9,N4XU,IAH-DFW,1.4,,1.4,1.4,,
3/2/2018,DC-9,N4WN,DFW-SDF,1.9,,1.9,1.9,,
3/2/2018,DC-9,N4WN,SDF-DFW,2.3,,2.3,2.3,,
3/3/2018,DC-9,N555,DFW-PIT,2.4,,2.4,2.4,,
3/4/2018,DC-9,N4XJ,PIT-DFW,3.2,,3.2,3.2,,
3/4/2018,DC-9,N4YD,DFW-RIC,2.9,,2.9,2.9,,
3/5/2018,DC-9,N425,RIC-DFW,3.5,,3.5,3.5,,
3/5/2018,DC-9,N4XD,DFW-ORF,2.5,,2.5,2.5,,
3/6/2018,DC-9,N4XT,ORF-DFW,3.8,,3.8,3.8,,
3/6/2018,DC-9,N4XT,DFW-AUS,1.1,,1.1,1.1,,
3/6/2018,DC-9,N4XT,AUS-DFW,0.9,,0.9,0.9,,
3/10/2018,DC-9,N4XR,DFW-PIT,2.4,,2.4,2.4,,
3/11/2018,DC-9,N4XY,PIT-DFW,3.3,,3.3,3.3,,
3/11/2018,DC-9,N4YF,DFW-RIC,2.5,,2.5,2.5,,
3/12/2018,DC-9,N4YU,RIC-DFW,3.8,,3.8,3.8,,
3/12/2018,DC-9,N4YL,DFW-ORF,2.8,,2.8,2.8,,
3/13/2018,DC-9,N4XK,ORF-DFW,3.4,,3.4,3.4,,
3/13/2018,DC-9,N4XG,DFW-AUS,0.9,,0.9,0.9,,
3/13/2018,DC-9,N4XG,AUS-DFW,1.0,,1.0,1.0,,
3/16/2018,DC-9,N4YF,DFW-CMH,2.4,,2.4,2.4,,
3/16/2018,DC-9,N4YF,CMH-DFW,2.8,,2.8,2.8,,
3/16/2018,DC-9,N4XP,DFW-JAX,2.1,,2.1,2.1,,
3/17/2018,DC-9,N4YE,JAX-DFW,2.8,,2.8,2.8,,
3/17/2018,DC-9,N4XY,DFW-DAY,2.3,,2.3,2.3,,
3/18/2018,DC-9,N4XK,DAY-DFW,2.6,,2.6,2.6,,
3/18/2018,DC-9,N547,DFW-VPS,1.7,,1.7,1.7,,
3/19/2018,DC-9,N4XS,VPS-DFW,2.3,,2.3,2.3,,
3/29/2018,DC-9,N550,DFW-IND,1.9,,1.9,1.9,,
3/29/2018,DC-9,N550,IND-DFW,2.7,,2.7,2.7,,
3/29/2018,DC-9,N547,DFW-PNS,1.5,,1.5,1.5,,
3/30/2018,DC-9,N4XY,PNS-DFW,2.0,,2.0,2.0,,
3/30/2018,DC-9,N4XL,DFW-OMA,1.8,,1.8,1.8,,
3/31/2018,DC-9,N4XT,OMA-DFW,1.9,,1.9,1.9,,
3/31/2018,DC-9,N4XT,DFW-BNA,1.7,,1.7,1.7,,
3/31/2018,DC-9,N4XT,BNA-DFW,2.0,,2.0,2.0,,
3/31/2018,DC-9,N4XT,DFW-OKC,0.9,,0.9,0.9,,
4/1/2018,DC-9,N4YD,OKC-DFW,0.9,,0.9,0.9,,
4/5/2018,DC-9,N4XC,DFW-MSY,1.3,,1.3,1.3,,
4/5/2018,DC-9,N4XC,MSY-DFW,1.6,,1.6,1.6,,
4/5/2018,DC-9,N4XC,DFW-IND,1.9,,1.9,1.9,,
4/6/2018,DC-9,N4YC,IND-DFW,3.2,,3.2,3.2,,
4/6/2018,DC-9,N4XH,DFW-DSM,2.1,,2.1,2.1,,
4/7/2018,DC-9,N501,DSM-DFW,1.6,,1.6,1.6,,
